,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,engagement_markers,hedges,attitude_markers,frame_markers,boosters,explicit_references,transitions,self_mentions,causal_markers,chronological_markers,place_time_svo,endophoric_markers,deontic_modal_words,situation_dependent_references,evidentials,code_glosses,adverbs_of_degree,positive_connotations,emotional_self_disclosures,slang_and_colloquialisms,figurative_language,negative_connotations,pleonasms,hedges_deontic_modal_words,idioms
0,u1984,"Spelunky (2008) by Derek Yu, The Binding of Isaac (2011) by Edmund McMillian, Dungeons of Dredmor (2011) by Gaslamp Games, and FTL: Faster Than Light (2012) by Subset Games were all... - why does the article specify the developers of these games? That hardly seems important, unless the developers themselves are now really big in making roguelike games.",2.0,"Spelunky (2008) by Derek Yu, The Binding of Isaac (2011) by Edmund McMillian, Dungeons of Dredmor (2011) by Gaslamp Games, and FTL: Faster Than Light (2012) by Subset Games were all... - why does the article specify the developers of these games?<engagement_markers> That hardly seems<hedges> important<attitude_markers>, unless the developers themselves are now<frame_markers> really<boosters> big in making roguelike games.",0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u721,"this has been the most positive interaction I had on WP, so thanks. Ok, I have read the Alexa part. Though the additional Similarweb estimate graph still doesn't feel right.",3.0,"this has been the most positive interaction I<self_mentions> had on WP<explicit_references>, so<transitions> thanks. Ok, I<self_mentions> have read the Alexa<explicit_references> part. Though<transitions> the additional Similarweb<explicit_references> estimate graph still<transitions> doesn't feel<hedges> right.",0.0,0.005780346820809248,0.0,0.0,0.0,0.017341040462427744,0.017341040462427744,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u2503,"This statement has been added, removed and had the omission subsequently reverted. It does not belong in the introductory article section/article brief as the subject of this article is Ultron as it relates to the Marvel Comics' character in the Avenger series of comic books.",2.0,"This<explicit_references> statement has been added, removed and had the omission subsequently<chronological_markers> reverted. It does not belong in the introductory article section/article brief as<causal_markers> the subject of this<explicit_references> article is Ultron as<causal_markers> it relates to the Marvel Comics' character in the Avenger series of comic books.",0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.007246376811594203,0.0036231884057971015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u2963,"in the English language, is this movement better known as Flemish Primitives or Early Netherlandish painting - the latter. See the sources, some of which in their original languages used Primitive names. The museum catalogues from London, Washington & New York all use ENP.",2.0,"in the English language<place_time_svo>, is this movement better known as Flemish Primitives or Early Netherlandish painting - the latter<endophoric_markers>. See<engagement_markers> the sources, some of which in their original languages used Primitive names. The museum catalogues from London<explicit_references>, Washington<explicit_references> & New York<explicit_references> all use ENP.",0.003663003663003663,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.003663003663003663,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u1411,"There are cases when more information does not make for a better article. Case in point, what I just deleted from the article. Here we have a huge paragraph in the article about scalar.",3.0,"There are cases when more information does not make for a better article. Case in point, what I<self_mentions> just<boosters> deleted from the article. Here we<self_mentions> have a huge paragraph in the article about scalar.",0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.010810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u2785,So can we come to some agreement about changing this section? I'm new to wikipedia and don't want to make a premature edit.,2.0,So<causal_markers> can<deontic_modal_words> we<self_mentions> come to some agreement about<hedges> changing this section? I'm<self_mentions> new to wikipedia and don't want<frame_markers> to make a premature edit.,0.0,0.008130081300813009,0.0,0.008130081300813009,0.0,0.0,0.0,0.016260162601626018,0.008130081300813009,0.0,0.0,0.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u1857,"I do not understand why Czerny is listed as an Austrian composer. After all, his family was from Nymburk, his first language was Czech, his last name was Czech (though spelt using Polish orthography) and he did not speak German until the age of ten.",2.0,"I<self_mentions> do not understand why Czerny is listed as an Austrian composer. After all<transitions>, his family was from Nymburk<explicit_references>, his first language was Czech, his last name was Czech (though<transitions> spelt using Polish orthography) and he did not speak German until<chronological_markers> the age of ten.",0.0,0.0,0.0,0.0,0.0,0.004016064257028112,0.008032128514056224,0.004016064257028112,0.0,0.004016064257028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u3374,"The phrase (a despised and shunned minority generally found in southwestern France and northern Spain) is inappropriate. Whatever the origin of the term in mediaeval south-west France, the proper context here is the 19th Century Ardennes, in the north-east of the country. Today the word is mostly just a scatological term of abuse.",2.0,"The phrase (a despised and shunned minority generally<hedges> found in southwestern France and northern Spain) is inappropriate<attitude_markers>. Whatever the origin of the term in mediaeval south-west France, the proper context here<situation_dependent_references> is the 19th Century<place_time_svo> Ardennes, in the north-east<place_time_svo> of the country. Today<chronological_markers> the word is mostly<hedges> just<boosters> a scatological term of abuse.",0.0,0.006024096385542169,0.0030120481927710845,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0030120481927710845,0.006024096385542169,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u3928,"I read the article and could not find an answer to the question above. It has to do with Internet Browsing Security and Anonymity. I've read some posts that indicate at least some people believe this information is given out when one browse's the internet, so that a person's computer's identity can be recorded as having visited a particular site, etc...",2.0,"I<self_mentions> read the article and could<hedges> not find an answer to the question above<endophoric_markers>. It has to do with Internet Browsing Security and Anonymity. I've<self_mentions> read some posts that indicate at least some people believe<hedges> this information is given out when one browse's the internet, so<causal_markers> that a person's computer's identity can<deontic_modal_words> be recorded as having visited a particular site, etc...",0.0,0.005633802816901409,0.0,0.0,0.0,0.0,0.0,0.005633802816901409,0.0028169014084507044,0.0,0.0,0.0028169014084507044,0.0028169014084507044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u2804,"I feel like a few sentences in the Identification section could be fixed to make it flow a little better. Possibly change The key characteristics of polyphaga are that... to Key characteristics of the polyphaga are the hind coxa... I would also change the Furthermore, an important... sentence to Another important feature...",1.0,"I<self_mentions> feel<hedges> like a few sentences in the Identification section could<hedges> be fixed to make it flow a little<hedges> better. Possibly<hedges> change The key characteristics of polyphaga are that... to Key characteristics of the polyphaga are the hind coxa... I<self_mentions> would<hedges> also<transitions> change the Furthermore<transitions>, an important... sentence to Another important feature...",0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.006153846153846154,0.006153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
